ID,costCenter,fiscalYear,fiscalMonth,totalAnnualBudget,monthlyAllocation,consumedAmount,reservedAmount,remainingAmount
b1a2c3d4-0001-0001-0001-000000000001,10101101,2026,6,120000,10000,2000,500,7500
b1a2c3d4-0002-0002-0002-000000000002,10101201,2026,6,96000,8000,1000,0,7000
b1a2c3d4-0003-0003-0003-000000000003,10101202,2026,6,96000,8000,500,500,7000
b1a2c3d4-0004-0004-0004-000000000004,10101301,2026,6,60000,5000,0,0,5000
b1a2c3d4-0005-0005-0005-000000000005,10101302,2026,6,60000,5000,1000,0,4000
b1a2c3d4-0006-0006-0006-000000000006,10101321,2026,6,72000,6000,0,0,6000
b1a2c3d4-0007-0007-0007-000000000007,10101401,2026,6,48000,4000,500,0,3500
b1a2c3d4-0008-0008-0008-000000000008,10101501,2026,6,84000,7000,2000,1000,4000
b1a2c3d4-0009-0009-0009-000000000009,10101601,2026,6,48000,4000,3500,500,0
b1a2c3d4-0010-0010-0010-000000000010,10101602,2026,6,84000,7000,500,0,6500
b1a2c3d4-0011-0011-0011-000000000011,10101701,2026,6,60000,5000,0,0,5000
b1a2c3d4-0012-0012-0012-000000000012,10101750,2026,6,72000,6000,1000,0,5000
b1a2c3d4-0013-0013-0013-000000000013,10101751,2026,6,72000,6000,0,0,6000
b1a2c3d4-0014-0014-0014-000000000014,10101752,2026,6,48000,4000,500,0,3500
b1a2c3d4-0015-0015-0015-000000000015,10101753,2026,6,60000,5000,2000,1000,2000
b1a2c3d4-0016-0016-0016-000000000016,10101801,2026,6,36000,3000,2500,500,0
